iter	Logloss
0	0.6050692876
1	0.5715180079
2	0.5562291463
3	0.5355882645
4	0.3356519063
5	0.312165451
6	0.3088974635
7	0.3045560201
8	0.2164248625
9	0.2118821144
10	0.2069158077
11	0.1957997322
12	0.1894707521
13	0.1880465031
14	0.1830983798
15	0.1265868346
16	0.1261773586
17	0.08395865758
18	0.07029252052
19	0.05740395387
20	0.04583771229
21	0.04004167318
22	0.03472435872
23	0.02859559059
24	0.02600165208
25	0.02347602646
26	0.02135169506
27	0.02006828388
28	0.01864414215
29	0.01701091925
30	0.01433117688
31	0.01373849312
32	0.01311412851
33	0.01271630128
34	0.01232532163
35	0.01180142363
36	0.01122394602
37	0.01086805065
38	0.01062443058
39	0.01023558378
40	0.01002007624
41	0.00967032512
42	0.009412202239
43	0.009158491095
44	0.008929901322
45	0.008766480287
46	0.008615644773
47	0.008443214496
48	0.008261692524
49	0.008084279299
50	0.007887171706
51	0.007715869943
52	0.007563386361
53	0.007414371272
54	0.007228746017
55	0.007033250729
56	0.006904368103
57	0.006756654382
58	0.00664904813
59	0.006537495057
60	0.006417029103
61	0.006310319901
62	0.006196839611
63	0.006102228165
64	0.005941389501
65	0.005835555494
66	0.005681649347
67	0.005595532556
68	0.005532091856
69	0.005456748605
70	0.005387327075
71	0.005301365753
72	0.00522796313
73	0.005105909705
74	0.005038041373
75	0.004877050221
76	0.004771150649
77	0.004665723443
78	0.004600910842
79	0.004548574487
80	0.004455949863
81	0.004407921433
82	0.004358430703
83	0.004299651583
84	0.004254754881
85	0.004201250772
86	0.004125494262
87	0.004084151238
88	0.004040301094
89	0.003979506095
90	0.003920416037
91	0.003886059175
92	0.003855084876
93	0.003815972308
94	0.003741387029
95	0.003674666584
96	0.003614141544
97	0.003561334809
98	0.003514165183
99	0.003479038179
100	0.003439048429
101	0.003412564596
102	0.003379706045
103	0.003328823298
104	0.003278543552
105	0.003236727417
106	0.003210862974
107	0.003171388805
108	0.003144651403
109	0.003094924241
110	0.003072181841
111	0.003025548657
112	0.002984282126
113	0.002951198071
114	0.002929207186
115	0.002896050115
116	0.002865503232
117	0.002846125513
118	0.00281757762
119	0.002789177001
120	0.002753257255
121	0.002723030249
122	0.002700351675
123	0.002676068246
124	0.002656521648
125	0.002609541516
126	0.002569457889
127	0.002545987318
128	0.002512628088
129	0.002494488657
130	0.002471457422
131	0.002455893904
132	0.002439912657
133	0.002418506145
134	0.002402864397
135	0.002382178108
136	0.00236447528
137	0.002342103173
138	0.002315648397
139	0.002301533769
140	0.002267340074
141	0.00225409021
142	0.002235910048
143	0.00222207879
144	0.002210506052
145	0.002192304035
146	0.002179732422
147	0.002166499694
148	0.002147888641
149	0.002134326597
150	0.002115949988
151	0.002098645767
152	0.002085713297
153	0.002055165172
154	0.002044472719
155	0.002024558683
156	0.002010266731
157	0.002000219996
158	0.001985510563
159	0.001971146837
160	0.001955993722
161	0.001946122944
162	0.001931491122
163	0.00192097649
164	0.001908149322
165	0.001894225304
166	0.001885457337
167	0.001877808819
168	0.001866779228
169	0.001854026566
170	0.00184518521
171	0.001832681398
172	0.001819835355
